AMP2	54.69	64.95	90.00	SGM8551XN5G/TR	SOT23-5
BUZ2	91.39	68.00	270.00		BUZZER_5020
C11	82.88	22.06	180.00	0.1uF/50V	C0603
C13	69.29	14.80	0.00	0.1uF/50V	C0603
C14	82.88	13.94	0.00	0.1uF/50V	C0603
C15	47.96	15.08	270.00	1uF/16V	C0603
C18	40.21	16.48	270.00	470pF/50V	C0603
C19	40.21	19.27	90.00	470pF/50V	C0603
C2	46.18	15.08	270.00	0.1uF/50V	C0603
C20	63.07	18.38	270.00	10uF/10V	C0603
C29	59.01	16.86	270.00	0.1uF/50V	C0603
C30	53.42	14.19	180.00	10uF/25V	C0805
C32	70.82	22.32	180.00	2.2uF/16V	C0603
C33	51.01	18.76	270.00	4.7uF/50V	C0805
C35	61.29	16.10	90.00	100pF/50V	C0603
C40	26.24	71.78	0.00	0.1uF/50V	C0603
C47	51.26	72.29	0.00	1uF/16V	C0603
C48	54.05	72.29	0.00	1uF/16V	C0603
C49	51.26	70.16	180.00	4.7uF/16V	C0603
C50	51.26	68.89	180.00	1uF/16V	C0603
C52	77.80	71.30	270.00	0.1uF/50V	C0603
C53	75.52	70.29	0.00	0.1uF/50V	C0603
C54	22.05	64.44	180.00	0.1uF/50V	C0603
C55	68.10	68.00	90.00	10nF/50V	C0603
C56	58.88	64.83	90.00	100pF/50V	C0603
C58	19.13	63.81	0.00	0.1uF/50V	C0603
C59	68.10	65.21	90.00	0.1uF/50V	C0603
C60	61.04	70.03	180.00	10nF/50V	C0603
C62	51.26	65.84	0.00	10uF/10V	C0603
C63	51.26	64.06	0.00	10uF/10V	C0603
C64	37.80	68.64	270.00	1uF/16V	C0603
C65	37.80	71.43	90.00	10uF/10V	C0603
C66	39.96	71.68	180.00	1uF/16V	C0603
C68	30.56	69.40	0.00	0.1uF/50V	C0603
C7	66.40	14.16	0.00	4.7uF/16V	C0603
C70	13.41	68.00	90.00	0.1uF/50V	C0603
C8	82.12	16.22	90.00	10pF/50V	C0603
C9	82.12	19.78	270.00	10pF/50V	C0603
D1	50.88	15.21	270.00	B5819WS	SOD-323
D10	77.42	66.86	90.00	MMSZ5242BS-7-F	SOD-323
D2	16.72	14.06	0.00	SMF24A	SOD-123
D5	16.72	15.71	0.00	SMF24A	SOD-123
D6	16.21	17.24	90.00	ESD5B5.0ST1	SOD-523
D7	53.42	16.48	180.00	B5819WS	SOD-323
D8	16.21	22.06	270.00	ESD5B5.0ST1	SOD-523
D9	30.20	20.29	0.00	B5819WS	SOD-323
DA2	71.33	71.56	270.00	INA226	MSOP10
FB1	62.18	13.94	0.00	1K	F0603
FB3	44.02	14.32	180.00	1K	F0603
FB4	69.29	16.83	90.00	1K	F0603
FB5	41.61	14.70	270.00	1K	F0603
FB6	14.68	71.30	270.00	1K	F0603
FID1	87.45	22.06	0.00	FIDUCIAL	FIDUCIAL_1MM
FID4	10.87	72.06	0.00	FIDUCIAL	FIDUCIAL_1MM
J1	89.92	68.00	270.00		USB-C-16P
J3	8.41	18.00	270.00		USB-C-16P
JP2	23.83	72.19	180.00		SMT-JUMPER_2_NO_SILK
L1	56.72	15.21	90.00	33uH CBC3225T330KR	SMD,3.2X2.5X2.5MM
LCD2	47.80	68.00	180.00	0.87inch SSD1306	0.87INCH_128X32_OLED_SSD1306
PAD1	23.45	20.03	0.00	PADTP16SQ	TP16SQ
PAD10	88.22	20.03	0.00	PADTP16SQ	TP16SQ
PAD11	88.22	15.97	0.00	PADTP16SQ	TP16SQ
