AMP1	44.64	8.57	90.00	SGM8551XN5G/TR	SOT23-5
BUZ1	7.94	11.62	270.00		BUZZER_5020
C1	21.53	14.92	270.00	0.1uF/50V	C0603
C10	85.92	11.62	90.00	0.1uF/50V	C0603
C12	73.09	15.40	0.00	0.1uF/50V	C0603
C16	31.23	8.83	90.00	0.1uF/50V	C0603
C17	38.29	13.65	180.00	10nF/50V	C0603
C21	48.07	15.91	0.00	1uF/16V	C0603
C22	45.28	15.91	0.00	1uF/16V	C0603
C23	48.07	13.78	180.00	4.7uF/16V	C0603
C24	48.07	12.51	180.00	1uF/16V	C0603
C25	48.07	9.46	0.00	10uF/10V	C0603
C26	48.07	7.68	0.00	10uF/10V	C0603
C27	31.23	11.62	90.00	10nF/50V	C0603
C28	16.88	38.40	270.00	10pF/50V	C0603
C3	80.20	7.43	0.00	0.1uF/50V	C0603
C31	61.53	12.26	270.00	1uF/16V	C0603
C34	40.45	8.45	90.00	100pF/50V	C0603
C36	16.88	34.84	90.00	10pF/50V	C0603
C37	61.53	15.05	90.00	10uF/10V	C0603
C38	16.12	40.68	180.00	0.1uF/50V	C0603
C39	59.37	15.30	180.00	1uF/16V	C0603
C4	23.81	13.91	0.00	0.1uF/50V	C0603
C41	29.71	33.42	0.00	0.1uF/50V	C0603
C42	16.12	32.56	0.00	0.1uF/50V	C0603
C43	52.82	33.70	270.00	0.1uF/50V	C0603
C44	51.04	33.70	270.00	1uF/16V	C0603
C45	58.79	35.10	270.00	470pF/50V	C0603
C46	58.79	37.89	90.00	470pF/50V	C0603
C5	77.28	8.06	180.00	0.1uF/50V	C0603
C51	47.99	37.38	270.00	4.7uF/50V	C0805
C57	45.58	32.81	180.00	10uF/25V	C0805
C6	68.77	13.02	0.00	0.1uF/50V	C0603
C61	39.99	35.48	270.00	0.1uF/50V	C0603
C67	35.93	37.00	270.00	10uF/10V	C0603
C69	32.60	32.78	0.00	4.7uF/16V	C0603
C71	28.18	40.94	180.00	2.2uF/16V	C0603
C72	37.71	34.72	90.00	100pF/50V	C0603
D11	82.28	32.68	0.00	SMF24A	SOD-123
D12	82.28	34.33	0.00	SMF24A	SOD-123
D13	82.79	35.86	90.00	ESD5B5.0ST1	SOD-523
D14	82.79	40.68	270.00	ESD5B5.0ST1	SOD-523
D15	48.12	33.83	270.00	B5819WS	SOD-323
D16	68.80	38.91	0.00	B5819WS	SOD-323
D3	21.91	10.48	90.00	MMSZ5242BS-7-F	SOD-323
D4	45.58	35.10	180.00	B5819WS	SOD-323
DA1	28.00	15.18	270.00	INA226	MSOP10
FB10	57.39	33.32	270.00	1K	F0603
FB2	84.65	14.92	270.00	1K	F0603
FB7	36.82	32.56	0.00	1K	F0603
FB8	54.98	32.94	180.00	1K	F0603
FB9	29.71	35.45	90.00	1K	F0603
FID2	88.45	15.68	0.00	FIDUCIAL	FIDUCIAL_1MM
FID3	11.54	40.68	0.00	FIDUCIAL	FIDUCIAL_1MM
J1	90.59	36.62	270.00		USB-C-16P
J3	9.41	11.62	270.00		USB-C-16P
JP1	75.50	15.81	180.00		SMT-JUMPER_2_NO_SILK
L2	42.28	33.83	90.00	33uH CBC3225T330KR	SMD,3.2X2.5X2.5MM
LCD1	51.53	11.62	180.00	0.87inch SSD1306	0.87INCH_128X32_OLED_SSD1306
PAD13	75.55	38.65	0.00	PADTP16SQ	TP16SQ
PAD14	71.51	38.65	0.00	PADTP16SQ	TP16SQ
PAD15	75.55	34.59	0.00	PADTP16SQ	TP16SQ
PAD16	71.51	34.59	0.00	PADTP16SQ	TP16SQ
PAD17	66.08	38.65	0.00	PADTP16SQ	TP16SQ
PAD18	66.08	34.59	0.00	PADTP16SQ	TP16SQ
PAD19	62.01	38.65	0.00	PADTP16SQ	TP16SQ
PAD20	62.01	34.59	0.00	PADTP16SQ	TP16SQ
PAD21	6.72	34.59	0.00	PADTP16SQ	TP16SQ
PAD22	10.78	38.65	0.00	PADTP16SQ	TP16SQ
PAD23	10.78	34.59	0.00	PADTP16SQ	TP16SQ
PAD24	6.72	38.65	0.00	PADTP16SQ	TP16SQ
Q2	18.99	10.35	0.00	AON7403	DFN8P-0.65-3X3X0.8MM
Q3	26.45	11.62	90.00	AON7403	DFN8P-0.65-3X3X0.8MM
Q4	35.19	9.21	270.00	S8050	SOT23-3
R10	19.49	12.76	180.00	4.7K	R0603
R11	35.95	11.62	0.00	10K	R0603
R12	32.50	8.83	90.00	1K	R0603
R14	68.77	10.99	0.00	10K	R0603
R15	77.71	34.08	270.00	1.5K	R0603
R17	48.07	10.73	180.00	560K	R0603
R18	60.26	9.21	270.00	4.7K	R0603
R19	61.53	9.21	270.00	4.7K	R0603
R23	84.65	11.62	90.00	1K	R0603
R24	16.95	14.16	90.00	10mR ±1% ±50ppm/℃	R1206
R30	79.24	37.51	0.00	22R	R0603
R31	79.24	38.78	0.00	22R	R0603
R32	51.93	38.78	180.00	4.7K	R0603
R33	51.93	37.51	180.00	4.7K	R0603
R34	51.93	36.24	180.00	4.7K	R0603
R35	29.20	9.08	180.00	4.7K	R0603
R36	19.49	15.43	0.00	10R	R0603
R37	19.49	14.16	0.00	10R	R0603
R38	32.70	14.77	0.00	10K	R0603
R41	81.34	15.81	180.00	1K	R0603
R42	33.97	13.50	0.00	100K	R0603
R43	36.00	14.01	270.00	2.37K ±0.1% ±25ppm/℃	R0603
R44	41.72	8.45	90.00	750K ±0.1% ±25ppm/℃	R0603
R47	35.42	34.84	180.00	4.7K	R0603
R48	45.33	37.51	270.00	100K	R0603
R49	38.72	37.51	90.00	32.4K	R0603
R50	37.20	37.51	90.00	124K	R0603
R51	79.24	36.24	0.00	22R	R0603
R52	79.24	40.05	0.00	22R	R0603
R60	49.65	33.70	270.00	1K	R0603
R68	68.80	34.33	0.00	32.4K	R0603
R7	67.75	7.43	0.00	1K	R0603
R8	70.55	7.43	180.00	100K	R0603
R9	84.65	8.32	90.00	10K	R0603
S1	81.34	11.62	270.00		TACTILE_SWITCH_SMD
S2	73.09	11.62	90.00		TACTILE_SWITCH_SMD
S3	64.83	11.62	90.00		TACTILE_SWITCH_SMD
S5	91.25	11.62	0.00		TACTILE_SWITCH_SMD
TP1	91.25	11.62	0.00	PGND	TESTPOINT_ROUND_2MM
U12	22.34	36.62	180.00	STM32F4x1CxU6	QFN48_7X7MM_0.5MM
U13	55.74	36.62	90.00	FUSB302BMPX	QFN14-2.5X2.5MM
U14	42.66	37.51	270.00	MP2456GJ	SOT23-6
U17	32.37	36.62	270.00	LIS3DH	LGA-16-3X3
U5	77.23	10.35	90.00	MCP9700AT-E/TT,or LM50CIM3X	SOT23-3@1
U6	59.37	12.97	180.00	MCP1700T-3302E/TT	SOT23-3
USB-C	63.72	73.00	270.00		USB-C_BLOW_BOARD
VD2	82.79	38.14	90.00	USBLC6-2SC6	SOT23-6
ZO2	14.59	36.62	270.00	8MHz	3.2X2.5_KX-7
