"Qty";"Value";"Device";"Package";"Parts";"Description";"MF";"MPN";"OC_FARNELL";"OC_NEWARK";"POPULARITY";"PROD_ID";"SF_ID";"TP_SIGNAL_NAME";"VALUE";
"1";"";"BUZZERBUZZER_5020";"BUZZER_5020";"BUZ1";"";"";"";"";"";"";"";"";"";"";
"1";"";"FUSE_CLIPS_01";"FUSE_CLIPS_01";"CP1";"FUSE";"";"";"";"";"1";"";"";"";"";
"1";"";"HAKKO_T12_K-TYPE_WITH_FUSE_CLIPS_X2";"HAKKO_T12_K-TYPE_WITH_FUSE_CLIPS_X2";"T1";"";"";"";"";"";"";"";"";"";"";
"4";"";"TAC_SWITCHSMD";"TACTILE_SWITCH_SMD";"S1, S2, S3, S5";"Momentary Switch";"";"";"";"";"";"";"";"";"";
"1";"";"USB_C_LONG-SYMBOL2-LAYER";"USB-C-16P";"J3";"USB Type C 16Pin Connector";"";"";"";"";"";"CONN-14122";"";"";"";
"13";"0.1uF/50V";"SEEED_CAP-0603";"C0603";"C1, C2, C3, C4, C5, C6, C10, C11, C12, C13, C14, C16, C29";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"1";"0.87inch SSD1316";"0.87INCH_OLED_128X32_SSD1306";"0.87INCH_128X32_OLED_SSD1306";"LCD1";"128x32 I2C 0.91" Monochrome OLED Display";"";"";"";"";"";"";"";"";"";
"1";"1.5K";"SEEED_RES-0603";"R0603";"R4";"";"";"";"";"";"";"";"";"";"";
"3";"100K";"SEEED_RES-0603";"R0603";"R8, R20, R42";"";"";"";"";"";"";"";"";"";"";
"1";"100pF";"SEEED_CAP-0603";"C0603";"C32";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"1";"100pF/50V";"SEEED_CAP-0603";"C0603";"C34";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"4";"10K";"SEEED_RES-0603";"R0603";"R9, R11, R14, R38";"";"";"";"";"";"";"";"";"";"";
"2";"10R";"SEEED_RES-0603";"R0603";"R36, R37";"";"";"";"";"";"";"";"";"";"";
"1";"10mR ±1% ±50ppm/°C";"SEEED_RES-1206";"R1206";"R24";"";"";"";"";"";"";"";"";"";"";
"2";"10nF/50V";"SEEED_CAP-0603";"C0603";"C17, C27";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
"2";"10pF/50V";"SEEED_CAP-0603";"C0603";"C8, C9";"Ceramic Capacitors";"";"";"";"";"";"";"";"";"";
