AMP1	40.64	4.57	90.00	SGM8551XN5G/TR	SOT23-5
BUZ1	3.94	7.62	270.00		BUZZER_5020
C1	17.53	10.92	270.00	0.1uF/50V	C0603
C10	81.92	7.62	90.00	0.1uF/50V	C0603
C12	69.09	11.40	0.00	0.1uF/50V	C0603
C16	27.23	4.83	90.00	0.1uF/50V	C0603
C17	34.29	9.65	180.00	10nF/50V	C0603
C21	44.07	11.91	0.00	1uF/16V	C0603
C22	41.27	11.91	0.00	1uF/16V	C0603
C23	44.07	9.78	180.00	4.7uF/10V	C0603
C24	44.07	8.51	180.00	1uF/16V	C0603
C25	44.07	5.46	0.00	10uF/10V	C0603
C26	44.07	3.68	0.00	10uF/10V	C0603
C27	27.23	7.62	90.00	10nF/50V	C0603
C3	76.20	3.43	0.00	0.1uF/50V	C0603
C31	57.53	8.26	270.00	1uF/16V	C0603
C34	36.45	4.45	90.00	100pF/50V	C0603
C37	57.53	11.05	90.00	10uF/10V	C0603
C39	55.37	11.30	180.00	1uF/16V	C0603
C4	19.81	9.91	0.00	0.1uF/50V	C0603
C5	73.28	4.06	180.00	0.1uF/50V	C0603
C6	64.77	9.02	0.00	0.1uF/50V	C0603
D3	17.91	6.48	90.00	MMSZ5242BS-7-F	SOD-323
DA1	24.00	11.18	270.00	INA226	MSOP10
FB2	80.65	10.92	270.00	1K	F0603
FID2	84.45	11.68	0.00	FIDUCIAL	FIDUCIAL_1MM
J3	5.41	7.62	270.00		USB-C-16P
LCD1	47.53	7.62	180.00	0.87inch SSD1316	0.87INCH_128X32_OLED_SSD1306
Q2	14.99	6.35	0.00	AON7403	DFN8P-0.65-3X3X0.8MM
Q3	22.45	7.62	90.00	AON7403	DFN8P-0.65-3X3X0.8MM
Q4	31.19	5.21	270.00	600mA/40V	SOT23-3
R10	15.49	8.76	180.00	4.7K	R0603
R11	31.95	7.62	0.00	10K	R0603
R12	28.50	4.83	90.00	1K	R0603
R14	64.77	6.99	0.00	10K	R0603
R17	44.07	6.73	180.00	560K	R0603
R18	56.26	5.21	270.00	4.7K	R0603
R19	57.53	5.21	270.00	4.7K	R0603
R23	80.65	7.62	90.00	1K	R0603
R24	12.95	10.16	90.00	10mR ±1% ±50ppm/°C	R1206
R35	25.20	5.08	180.00	4.7K	R0603
R36	15.49	11.43	0.00	10R	R0603
R37	15.49	10.16	0.00	10R	R0603
R38	28.70	10.77	0.00	10K	R0603
R41	77.34	11.81	180.00	1K	R0603
R42	29.97	9.50	0.00	100K	R0603
R43	32.00	10.01	270.00	2.37K ±0.1% ±25ppm/℃	R0603
R44	37.72	4.45	90.00	750K ±0.1% ±25ppm/℃	R0603
R7	63.75	3.43	0.00	1K	R0603
R8	66.55	3.43	180.00	100K	R0603
R9	80.65	4.32	90.00	10K	R0603
S1	77.34	7.62	270.00		TACTILE_SWITCH_SMD
S2	69.09	7.62	90.00		TACTILE_SWITCH_SMD
S3	60.83	7.62	90.00		TACTILE_SWITCH_SMD
S5	87.25	7.62	0.00		TACTILE_SWITCH_SMD
TP1	87.25	7.62	0.00	PGND	TESTPOINT_ROUND_2MM
U5	73.23	6.35	90.00	MCP9700AT-E/TT	SOT23-3@1
U6	55.37	8.97	180.00	MCP1700T-3302E/TT	SOT23-3
