AMP1	43.64	14.95	90.00	SGM8551XN5G/TR	SOT23-5
BUZ1	6.94	18.00	270.00		BUZZER_5020
C1	20.53	21.30	270.00	0.1uF/50V	C0603
C10	84.92	18.00	90.00	0.1uF/50V	C0603
C12	72.09	21.78	0.00	0.1uF/50V	C0603
C16	30.23	15.21	90.00	0.1uF/50V	C0603
C17	37.29	20.03	180.00	10nF/50V	C0603
C21	47.07	22.29	0.00	1uF/16V	C0603
C22	44.27	22.29	0.00	1uF/16V	C0603
C23	47.07	20.16	180.00	4.7uF/16V	C0603
C24	47.07	18.89	180.00	1uF/16V	C0603
C25	47.07	15.84	0.00	10uF/10V	C0603
C26	47.07	14.06	0.00	10uF/10V	C0603
C27	30.23	18.00	90.00	10nF/50V	C0603
C28	16.21	69.78	270.00	10pF/50V	C0603
C3	79.20	13.81	0.00	0.1uF/50V	C0603
C31	60.53	18.64	270.00	1uF/16V	C0603
C34	39.45	14.83	90.00	100pF/50V	C0603
C36	16.21	66.22	90.00	10pF/50V	C0603
C37	60.53	21.43	90.00	10uF/10V	C0603
C38	15.45	72.06	180.00	0.1uF/50V	C0603
C39	58.37	21.68	180.00	1uF/16V	C0603
C4	22.81	20.29	0.00	0.1uF/50V	C0603
C41	29.04	64.80	0.00	0.1uF/50V	C0603
C42	15.45	63.94	0.00	0.1uF/50V	C0603
C43	52.15	65.08	270.00	0.1uF/50V	C0603
C44	50.37	65.08	270.00	1uF/16V	C0603
C45	58.12	66.48	270.00	470pF/50V	C0603
C46	58.12	69.27	90.00	470pF/50V	C0603
C5	76.28	14.44	180.00	0.1uF/50V	C0603
C51	47.32	68.76	270.00	4.7uF/50V	C0805
C57	44.91	64.19	180.00	10uF/25V	C0805
C6	67.77	19.40	0.00	0.1uF/50V	C0603
C61	39.32	66.86	270.00	0.1uF/50V	C0603
C67	35.26	68.38	270.00	10uF/10V	C0603
C69	31.93	64.16	0.00	4.7uF/16V	C0603
C71	27.51	72.32	180.00	2.2uF/16V	C0603
C72	37.04	66.09	90.00	100pF/50V	C0603
D11	81.61	64.06	0.00	SMF24A	SOD-123
D12	81.61	65.71	0.00	SMF24A	SOD-123
D13	82.12	67.24	90.00	ESD5B5.0ST1	SOD-523
D14	82.12	72.06	270.00	ESD5B5.0ST1	SOD-523
D15	47.45	65.21	270.00	B5819WS	SOD-323
D16	68.13	70.29	0.00	B5819WS	SOD-323
D3	20.91	16.86	90.00	MMSZ5242BS-7-F	SOD-323
D4	44.91	66.48	180.00	B5819WS	SOD-323
DA1	27.00	21.56	270.00	INA226	MSOP10
FB10	56.72	64.70	270.00	1K	F0603
FB2	83.65	21.30	270.00	1K	F0603
FB7	36.15	63.94	0.00	1K	F0603
FB8	54.31	64.32	180.00	1K	F0603
FB9	29.04	66.83	90.00	1K	F0603
FID2	87.45	22.06	0.00	FIDUCIAL	FIDUCIAL_1MM
FID3	10.87	72.06	0.00	FIDUCIAL	FIDUCIAL_1MM
J1	89.92	68.00	270.00		USB-C-16P
J3	8.41	18.00	270.00		USB-C-16P
JP1	74.50	22.19	180.00		SMT-JUMPER_2_NO_SILK
L2	41.61	65.21	90.00	33uH CBC3225T330KR	SMD,3.2X2.5X2.5MM
LCD1	50.53	18.00	180.00	0.87inch SSD1306	0.87INCH_128X32_OLED_SSD1306
